Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	Q7A	Q7I	Q7E	Q8A	Q8I	Q8E	Q9A	Q9I	Q9E	Q10A	Q10I	Q10E	Q11A	Q11I	Q11E	Q12A	Q12I	Q12E	Q13A	Q13I	Q13E	Q14A	Q14I	Q14E	Q15A	Q15I	Q15E	Q16A	Q16I	Q16E	Q17A	Q17I	Q17E	Q18A	Q18I	Q18E	Q19A	Q19I	Q19E	Q20A	Q20I	Q20E	Q21A	Q21I	Q21E	Q22A	Q22I	Q22E	Q23A	Q23I	Q23E	Q24A	Q24I	Q24E	Q25A	Q25I	Q25E	Q26A	Q26I	Q26E	Q27A	Q27I	Q27E	Q28A	Q28I	Q28E	Q29A	Q29I	Q29E	Q30A	Q30I	Q30E	Q31A	Q31I	Q31E	Q32A	Q32I	Q32E	Q33A	Q33I	Q33E	Q34A	Q34I	Q34E	Q35A	Q35I	Q35E	Q36A	Q36I	Q36E	Q37A	Q37I	Q37E	Q38A	Q38I	Q38E	Q39A	Q39I	Q39E	Q40A	Q40I	Q40E	Q41A	Q41I	Q41E	Q42A	Q42I	Q42E	Q43A	Q43I	Q43E	Q44A	Q44I	Q44E	Q45A	Q45I	Q45E	Q46A	Q46I	Q46E	Q47A	Q47I	Q47E	Q48A	Q48I	Q48E	Q49A	Q49I	Q49E	Q50A	Q50I	Q50E	Q51A	Q51I	Q51E	Q52A	Q52I	Q52E	Q53A	Q53I	Q53E	Q54A	Q54I	Q54E	Q55A	Q55I	Q55E	Q56A	Q56I	Q56E	T1A	T1I	T1E	T2A	T2I	T2E	T3A	T3I	T3E	T4A	T4I	T4E	T5A	T5I	T5E	T6A	T6I	T6E	country	introelapse	testelapse	surveyelapse	uniquenetworklocation	screensize	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	hand	religion	orientation	race	voted	married	familysize	major	drug1	drug2	drug3	drug4	drug5	drug6	drug7	drug8	drug9
4	15	11945	3	35	4417	3	20	3426	2	22	3250	2	27	2482	3	19	2292	3	51	4176	3	9	2476	2	29	9036	3	49	3967	3	30	5818	3	56	2506	2	52	4242	3	32	3621	3	1	7922	3	39	3684	3	21	5126	3	47	2433	3	24	3594	3	25	3607	2	7	4359	3	55	4991	3	41	1694	2	31	3682	3	45	2607	2	18	3821	3	48	2340	3	43	2316	3	2	2884	2	8	3208	2	28	484	3	16	3817	3	54	543	3	46	2842	3	42	2366	4	40	2557	2	17	2488	4	11	8074	3	6	3136	3	10	3292	3	37	8473	3	5	3587	3	38	2150	3	13	6351	4	36	1403	3	50	2817	2	3	2709	3	14	6576	4	12	4327	2	26	2234	3	33	2212	2	44	2092	4	4	4386	2	34	4676	3	23	7711	2	53	1545	1	62	3790	2	60	6380	1	59	12907	2	61	6068	2	58	7048	1	57	2327	CA	15	254	154	1	2	3	2	6	1	5	3	6	5	6	2	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	3	2	2	17	1	2	2	1	2	1	3		0	0	0	0	0	0	0	0	0
4	56	1855	4	15	2690	4	44	2100	4	38	2070	2	37	2455	3	32	2503	4	17	2591	4	40	4118	2	10	6678	2	25	5190	2	16	3769	4	54	2263	2	24	5706	4	11	3095	2	21	4291	3	42	7190	2	29	3372	2	4	2852	3	35	10895	2	9	5811	1	18	2420	1	34	3745	3	45	3933	3	33	3888	3	23	2605	3	53	19299	2	39	3986	2	51	32173	1	27	4738	3	2	2706	4	1	2595	3	36	21913	4	6	2721	3	7	5551	4	30	4117	3	31	2708	4	12	1922	2	14	6601	2	3	3550	2	13	3820	3	19	2250	3	20	7075	4	46	2825	4	47	2135	2	50	5211	4	28	1769	4	52	2970	3	5	5554	4	49	1899	2	26	9360	4	55	2149	2	41	2371	4	43	1485	2	48	2548	4	8	2290	2	22	1910	1	59	3250	1	60	12247	2	61	3970	2	57	11215	2	62	4072	1	58	3464	PH	162	310	350	1	1	3	5	2	3	6	5	3	6	2	3	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	2	3	2	2	16	1	4	2	1	2	1	3		0	0	0	0	0	0	0	0	0
3	38	3912	2	17	7202	2	9	4296	4	26	3399	2	7	3632	3	39	2280	1	51	2727	1	32	2376	1	22	1952	1	15	2583	1	4	4399	1	28	4145	1	45	2039	4	6	6281	3	10	7465	4	18	6102	4	11	3656	2	46	2216	3	5	3040	4	1	6357	1	53	5448	3	47	3561	4	48	3672	4	20	4056	4	13	3509	3	8	5071	2	37	5655	4	27	3409	4	24	3567	3	30	2575	3	29	4928	3	25	3319	4	50	3095	4	43	6135	4	55	2207	2	35	2808	2	23	5761	1	40	6553	4	16	4488	4	33	3657	3	41	2791	4	31	6944	4	2	4504	3	21	6262	1	54	6159	3	19	3058	4	56	1857	2	52	5162	4	44	4321	4	34	3679	3	36	3417	1	3	3367	4	14	1808	2	42	6535	2	12	4967	1	49	1937	2	60	4271	1	61	4816	2	57	5343	1	58	7440	1	59	10879	2	62	5353	GE	823	269	147	1	2	1	6	7	5	1	7	2	7	7	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	1	2	19	1	7	1	6	1	1	1	Law	0	0	0	0	0	0	3	0	0
2	18	9099	2	13	3414	3	8	11185	2	55	4912	2	7	5565	4	47	2612	2	48	4843	4	28	3757	3	34	4440	3	21	3598	3	29	14877	3	17	4070	2	39	5676	3	1	11887	4	43	5498	3	54	7362	3	9	5393	4	52	3080	3	11	4474	4	35	3338	3	12	5220	3	2	6714	4	56	3691	3	22	4114	4	46	2881	3	6	3726	3	3	7261	4	53	3981	4	49	2803	4	27	3264	4	45	5418	4	33	3082	4	14	4568	4	50	3740	4	42	2782	3	23	3352	4	15	3219	3	38	9883	4	36	4374	4	25	5698	3	5	2900	4	10	8028	2	20	5515	3	37	9042	1	26	6662	3	19	4646	1	4	3816	1	24	7154	4	40	5427	2	44	4223	3	41	5752	2	16	5205	3	51	2958	1	32	5040	3	31	13904	3	30	2143	1	62	7736	2	60	6798	1	61	9254	1	58	8042	1	57	7917	1	59	4395	AR	11	346	236	1	1	5	6	6	4	6	4	4	2	3	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	3	2	1	2	35	1	1	1	6	2	2	6	Mechanical engineering	0	0	0	0	0	0	0	0	0
2	53	4009	3	26	2812	2	56	2998	4	42	2476	4	30	2854	4	28	2229	3	55	2911	2	50	3069	2	39	3747	2	16	3270	3	43	4552	3	11	6221	2	46	2303	3	37	7547	3	40	5935	4	36	5724	3	2	19854	2	12	5230	4	6	3984	4	27	4808	4	41	3815	4	35	2688	3	13	4234	4	19	3264	3	8	5312	3	38	6714	4	5	9719	4	18	6770	2	51	4420	3	3	4936	2	47	7572	3	21	6195	3	17	4766	3	24	5668	3	54	3240	3	1	4760	2	44	5832	2	23	9018	3	10	6142	4	25	7429	3	48	4308	2	15	9171	3	22	8311	4	34	4418	4	33	2662	2	7	5000	2	4	6272	3	49	5579	2	45	6253	4	20	2967	2	9	4506	4	31	2270	3	52	4559	2	29	4210	3	14	8011	4	32	1713	1	62	5967	1	57	7383	2	60	9864	1	61	5149	2	59	6722	2	58	4528	US	32	330	361	1	1	4	2	7	5	6	4	7	1	4	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	1	2	1	37	1	7	2	6	2	3	0		2	2	0	3	2	2	2	3	0
2	1	9048	2	30	6688	4	48	3358	4	31	2937	2	2	4908	4	11	2777	2	43	2465	2	22	4919	2	42	2936	4	38	7033	2	35	6114	4	36	5032	1	53	4170	2	25	5436	3	27	9867	3	5	7172	2	28	3605	3	8	2522	2	33	3291	3	39	9940	2	41	3846	3	21	5342	3	4	9986	3	46	5283	2	32	3891	4	34	5340	1	26	3962	3	19	3431	4	17	2300	3	44	2149	3	56	4011	4	7	3853	3	13	8601	3	3	5145	4	15	7413	3	47	2657	2	29	3057	3	51	4582	4	24	2350	3	12	5395	3	6	2891	4	54	4234	3	20	15792	2	9	2595	2	37	4884	3	23	4167	3	52	2035	3	18	3730	3	40	3018	3	49	3725	4	16	2703	4	50	2638	4	10	3023	2	14	3205	3	55	5412	2	45	8887	1	58	8951	2	61	5389	2	62	27291	2	59	5261	1	60	17657	1	57	19819	DE	269	355	278	1	1	3	5	5	3	6	5	3	5	3	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	1	2	20	1	2	1	6	1	1	2	Business 	2	0	0	0	2	0	2	0	0
3	23	17033	3	46	27288	3	26	11321	2	21	10079	2	2	23765	3	4	3842	3	5	4859	2	3	14416	2	11	14411	4	33	12024	1	12	5807	3	39	3443	2	54	7106	4	10	6911	3	49	24277	3	27	9649	2	41	8510	3	7	23963	2	45	15345	3	29	3400	2	19	3776	3	43	18316	2	8	15125	2	9	28957	2	34	16522	3	47	10488	2	6	15551	2	14	8919	2	37	5954	2	50	10260	2	24	6650	2	40	3060	3	52	3379	2	44	5144	3	18	3688	3	51	17739	3	55	9224	2	42	10911	3	38	5424	3	48	36349	3	17	13515	2	28	11851	3	30	2539	4	53	6314	3	1	24395	4	13	3009	3	32	5463	4	16	4152	4	36	2278	3	20	2955	4	35	4158	4	56	3062	4	31	1670	4	25	3678	4	15	4171	3	22	3456	1	61	7493	1	57	34098	2	59	5427	2	60	29825	2	62	4277	2	58	50302	AU	11	712	233	1	2	4	5	5	6	5	5	6	6	5	3	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	2	2	1	15	2	4	1	1	2	1	1		0	0	0	0	0	0	0	0	0
3	4	5150	3	25	3734	4	33	5250	3	44	3815	2	5	3383	3	9	3218	3	7	5005	2	40	2932	2	11	5689	3	3	3662	3	16	7221	3	2	3852	2	6	2510	3	39	8001	1	41	6117	3	50	6267	2	13	8850	1	23	4265	3	19	5815	2	15	4779	1	18	3947	3	56	3416	3	10	5859	3	26	3982	2	28	4782	2	32	3569	1	17	5434	2	43	5368	4	31	4399	4	47	3234	1	54	4081	2	35	3968	4	27	5101	2	38	3783	3	49	2851	3	14	4435	3	45	7334	4	53	5316	2	55	5170	4	21	4351	4	8	3169	2	36	7750	3	12	6367	4	48	5234	2	1	19687	3	42	2950	4	29	2302	4	24	4051	4	20	6066	3	51	3231	3	52	2502	4	37	2217	4	34	3146	4	22	3700	4	30	5198	3	46	2950	1	62	7383	2	61	9012	2	57	7032	1	59	6204	2	58	13414	2	60	6136	ES	20	321	277	1	1	3	5	2	6	7	6	6	7	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	3	3	2	1	23	1	2	2	6	2	1	3	Fine Art	2	0	0	0	0	0	3	2	0
1	28	3824	2	14	5184	2	44	7380	4	15	5847	2	31	6605	2	29	2962	2	12	5534	1	45	4295	2	2	3898	3	52	6833	1	42	4773	2	33	8213	1	10	2759	3	37	5436	3	36	4918	4	55	4191	3	1	10903	3	4	5185	3	41	3769	4	56	3954	1	18	3850	3	27	4029	3	8	3727	3	32	4132	3	43	5205	4	19	7030	2	13	3942	3	17	5704	3	26	3306	3	48	3660	3	39	5314	4	20	2983	3	51	4815	3	54	3659	3	40	2210	3	35	6127	2	3	7821	4	24	5545	4	25	6038	3	11	4286	3	6	3623	4	7	7043	3	30	5219	2	46	8689	2	34	4758	4	23	2867	2	50	4142	2	38	5232	4	5	6094	3	47	7064	4	16	3603	2	9	3114	4	21	3026	3	53	5366	3	22	8443	2	49	6349	2	57	4613	2	60	7324	2	61	12978	2	62	9688	1	59	8748	1	58	3822	AR	54	334	203	1	1	3	6	5	3	5	3	3	3	5	6	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	2	2	20	1	4	1	6	1	1	1		0	0	0	0	0	0	0	0	0
4	33	14994	4	11	7790	4	38	5468	3	23	29146	4	41	5034	4	17	3326	4	9	14283	3	31	6959	4	21	7316	4	47	4982	4	53	21748	3	4	6907	2	32	6424	4	15	13940	2	2	38059	1	5	14969	4	43	8498	1	16	5640	3	6	12873	3	22	10977	1	34	15463	1	51	7201	4	40	6093	4	26	7437	4	29	1063	4	8	5751	4	18	29072	4	48	7220	4	39	4101	4	50	4013	4	35	25908	4	27	16433	4	28	4115988	2	49	6659	4	3	6122	4	52	11056	4	10	29084	4	14	5973	4	30	5794	4	13	6788	4	46	2591	4	24	12377	4	37	5867	4	12	14420	1	56	6239	3	54	8452	4	44	13129	1	1	156076	4	36	6919	3	19	5890	4	45	15688	4	42	19135	4	55	3157	4	20	7897	4	7	86392	3	25	3046	1	59	17964	1	60	26215	2	61	60509	1	62	12278	1	57	27442	2	58	8445	BD	103	5082	349	1	1	4	1	5	1	7	1	5	1	3	7	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	4	3	2	2	32	1	10	1	1	1	3	2		1	0	0	0	0	0	3	1	0
