"gender","age","S1","S2","S3","S4","S5","S6","EX","NR","OP","AG","CN"
1,30,"compulsive liars","is simplistic and happy","are to share and help each other","are one you should care about","truth is undeniable","humanity",3.4,2.8,4.8,4.5,4.3
2,20,"someone who gives you a reason not to trust them","is what everyone should strive for","i love mine","i wish i had one","life, is plentiful","lasdkf",4.2,3.3,4.3,4.4,4
1,48,"politicians","is what you make it","don't have to be related by blood","are women","it all","common sense",2.8,4.2,4.5,3.4,2.9
2,24,"someone who stabs you in the back.","is a balanced life.","are there to protect you.","are good companions in shopping.","being young is that you don't have to worry much.","common sense is absolutely deadatorial.",3.4,3.9,4.9,4.3,4.5
1,37,"SOMEONE BEING FOUND UNTRUSTWORTHY","IS BLESSINGS",1,1,"LIFE IS GREAT","NOT FOCUS",2.8,2.7,2.9,3.8,3.8
1,58,"anyone whose prior actions have proven them untrustworthy.","is one of peace of mind amid the strifes of life, knowing you are progressing.","are those who are willing to sacrifice for one another.","are strictly friends of males (in whom there may or may not be sexual attraction, but for which there is no intention or","one's life is in the progression towards overcoming the ""animal"" tendencies and developing the ""divine"".","integrity is still riches untold.",3.5,4.2,4.4,4,3.1
2,45,"Everyone","By the beach","Enjoyed them","Be close to then as good friends","Nature","A fine wine",4.8,3.2,4.4,4,4.6
2,41,"other's opinions about you.","is when you can do things you want, whenever you want. ","help each other in difficult situation.","support each other in everyday life.  ","things lasts forever but not found all the time. ","self efficacy leads to success in life. ",3.3,4.7,4.6,4.4,3.1
1,33,"a republican","is money","are good","are good","happiness revolves around money","energy",4.7,2.7,4.7,4.2,3
2,26,"strangers","is hard to keep","are protecting","are good company","life is love","intelliegence",3.6,3,3.6,4.2,4.5
2,26,"strangers","is hard to keep","are protecting","are good company","life is love","intelliegence",3.6,3,3.6,4.2,4.5
2,31,"Unconditionally","Is being with friends & family","I don't know anything about brothers.","Are important","Life is love","Love, because there's always dogs & they'll love you no matter what.",3.9,3.5,4.8,3.8,2.1
1,59,"politicians.","is sailing .","in arms is a good album.","should call there brother once and a while.","nature is truly amazing.","funds to proceed with the project.",3.9,4.2,4.4,5,5
1,21,"politicians ","is the simple life","to be loved","to be loved","life is often misunderstood ","love",4,3,4.3,3.8,3.3
2,61,"a goblin ","starts here ","in arms ","of mercy ","life ","lust ",5,4.2,4.9,4.9,3.5
2,50,"situations you are not familiar with ","is happines is what you are doing","leaders and protectors","friends and confidants","nature","the ability to learn",3.9,3.8,3.8,4.5,4.8
1,48,"STRANGERS","IS SUBJECTIVE","ARE NOT TO BE IDEALIZED","ARE OVER CRITICAL","PERKY BREAST","TIME",1.7,2.6,4.1,2.8,3.5
1,23,,,,,,,1,1.9,4.3,2.2,4.6
1,34,"the goverment","ist different for everybody","will back me up, no matter what","I don't have.","living","money.",2.3,3.7,3,4,2.4
1,26,"someone you just met.","is hard to find.","are your male siblings.","are you female siblings.","the world doesn't exist in the winter.","wanting nothing.",2.4,4.3,4.3,2.5,2.6
1,19,"someone thats keeps on hurting you ","is a life of humble beginning and ending ","are always to your aid ","are always there to take care of you ","life is way more than we imagine ","faith ",2.8,4.6,2.7,4.1,3.5
2,33,"a stranger","is farther away than we think","I don't have any.","don't always get along","nature","my wits",2.3,2.3,3.7,3.7,4.2
2,36,"the media/news","for me is accepting my life and being greatful for what I have.","are fun","I dont have any","the world and universe is amazing","a heartbeat",3.7,3.3,4.3,4.8,4.1
2,21,"a politichen","is everywhere","sisters","brothers","life","the truth",3.2,2.8,4.2,4.6,3.2
1,53,,"is happiness"," are",0,0,"o",3.5,4,4,4.6,3.4
2,20,"a self indulgent person","seems to always be out of reach","are funny","are necessary","memory","peace",3.7,3.1,4.1,4.1,3.8
2,31,,"is full of excitement","is family","is family","relationship makes me happy","we should live happily",3.2,2.2,3.1,4,3.9
2,35,"the negative thoughts","is being with my family","are genuine","are best friends","being a mother and loving wife","nothing",2.6,5,4.2,4.6,5
1,29,"reality, it might be an illusion.","is one with no regrets.","are okay.","are okay.","the night sky is formidable.","time",2.4,3.1,4,4,3.5
2,36,"The devil","Is good","Would be nice","Wouldn't be bad","The beast","Confidence",3.7,2.1,4.1,4.4,3.4
1,29,"reality, it might be an illusion.","is one with no regrets.","are okay.","are okay.","the night sky is formidable.","time",2.4,3.1,4,4,3.5
1,32,"someone you don't know well.","is wholesome and simple.","are wonderful.","are caring.","everything can be perceived if someone looks for it.","the essentials, I walk into the woods.",4.1,4.5,4.7,4.3,3.9
1,37,"second or third hand information.","being with those you love and who love you.","not always related to you by blood.","should always be looked after.","nature in the smallest of things.","a willingness to work hard and learn.",4.2,3.5,3.4,3.8,2.2
1,38,"anyone","ends here","and sisters","are doing it for themselves","nature","want for nothing",2.7,2.4,5,4.7,2.6
2,22,"anyone's judgement.","starts in your head.","must be a cool thing to have.","are each other's greatest competition.","words captures my attention.","patience",3,1.6,4.2,4.1,3.3
2,24,"without getting the facts.","contains family and friends.","are the guardians of sisters.","need protection.","life is to live day by day experiencing everything.","a brain.",3.3,1.8,3.7,4.3,2.5
