Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	country
1	4	1	1	2	4	4	4	4	4	3	4	US
2	2	4	2	2	2	2	2	4	2	4	1	PL
1	2	4	4	3	3	2	4	3	4	4	3	AU
4	2	4	1	2	3	4	2	4	2	4	2	PH
1	3	1	3	1	1	1	1	1	1	3	3	US
4	2	4	4	3	3	2	4	4	4	4	2	US
3	3	1	3	3	1	4	3	1	2	3	3	US
4	1	4	3	2	4	4	2	4	2	4	1	GB
3	3	1	4	3	4	3	4	3	4	4	3	GB
2	3	3	2	2	1	4	3	2	4	3	1	US
3	4	4	3	3	3	4	4	3	4	4	3	US
1	4	4	4	3	4	3	3	4	3	1	1	CN
1	2	2	1	1	1	1	1	4	2	1	2	US
1	2	1	4	2	4	2	2	1	4	4	1	US
3	1	2	3	1	3	4	4	4	2	3	4	US
3	2	4	4	3	4	1	4	1	1	3	1	US
1	2	2	1	2	3	1	2	1	3	1	2	GR
1	4	4	3	3	1	2	1	1	3	3	1	US
4	3	4	2	2	3	1	4	3	1	3	3	US
1	2	4	3	2	2	2	1	1	1	4	2	BE
3	1	4	1	2	2	1	2	1	2	2	1	US
3	3	3	3	1	3	3	1	1	2	1	1	CA
1	1	4	1	3	1	3	4	4	1	4	4	US
1	3	4	2	1	3	4	4	3	4	4	4	GB
4	1	1	3	3	4	3	2	4	4	3	2	US
4	2	4	4	3	2	2	4	3	2	3	4	HR
3	1	2	4	1	2	2	2	4	2	3	1	US
3	2	4	1	3	3	2	2	1	2	2	1	AU
1	3	1	3	1	1	1	1	1	1	3	1	LB
1	4	4	3	3	1	4	2	1	4	2	3	CA
2	2	4	2	1	1	3	2	2	2	3	1	CA
1	3	1	4	4	3	3	4	4	2	3	2	US
4	1	4	4	2	4	2	4	4	4	4	2	CA
4	4	4	1	3	4	3	2	4	4	2	2	US
1	3	1	1	1	1	4	1	1	2	3	1	US
4	2	4	4	4	4	2	4	4	2	4	4	CA
1	1	1	1	4	1	1	2	1	3	3	3	US
1	2	3	3	3	3	4	4	1	1	3	3	CA
1	4	4	3	2	3	4	2	1	4	2	3	US
1	2	1	2	2	3	4	3	1	3	3	1	CA
4	1	4	3	3	4	4	2	4	4	4	1	GB
3	4	3	4	2	4	3	3	4	1	4	1	CA
1	3	1	3	1	1	1	1	1	1	3	1	LB
1	2	3	1	3	3	2	3	1	1	2	4	CA
4	3	4	2	4	4	2	3	4	2	3	2	US
4	2	4	1	3	4	3	4	3	4	4	1	US
4	2	4	4	4	4	2	2	4	2	4	4	CA
3	3	1	2	2	3	3	2	1	2	3	1	CA
3	2	2	4	3	2	2	4	3	4	4	1	AU
4	4	4	3	3	4	4	3	1	4	4	4	GB
1	4	1	4	1	3	4	3	1	3	3	1	MY
1	3	3	4	3	1	4	2	1	2	1	3	US
4	4	4	4	2	4	2	2	4	2	3	2	GB
4	1	4	4	3	4	2	4	3	4	4	2	US
4	3	1	4	1	1	2	1	4	2	4	1	US
3	1	4	4	2	3	3	4	4	1	3	4	US
4	4	1	1	4	4	2	4	1	2	2	2	US
2	4	4	4	3	3	3	4	3	4	4	4	GB
1	1	4	2	1	1	1	1	1	2	1	1	US
3	3	4	1	1	1	4	1	1	3	1	1	US
4	3	1	4	4	4	4	4	4	4	4	4	US
3	3	1	3	1	1	1	4	1	3	1	3	US
4	1	4	4	4	3	2	4	4	1	3	2	US
3	3	3	3	2	1	4	1	1	3	1	1	US
1	3	1	1	4	1	2	2	1	2	2	1	US
1	3	1	4	3	3	4	4	1	4	4	3	US
2	3	1	4	2	2	2	4	4	2	2	2	US
1	3	3	3	1	1	1	1	1	3	1	1	AU
4	3	1	4	1	1	1	1	4	2	4	1	US
1	2	3	1	2	3	4	1	1	4	1	3	US
4	3	3	1	4	3	1	4	4	4	4	4	US
4	3	4	3	3	4	1	3	1	4	3	4	US
1	1	3	2	2	4	4	2	1	4	2	2	US
3	4	2	2	1	4	4	3	1	3	3	1	US
2	4	4	2	2	4	4	2	1	4	2	2	US
1	2	2	2	1	2	1	1	1	1	3	1	CA
4	3	4	2	2	4	2	4	4	4	4	2	US
1	3	1	1	1	1	1	1	1	2	1	1	US
4	2	2	3	4	3	3	3	3	2	4	4	US
3	3	3	3	2	3	1	4	1	2	3	2	US
1	2	1	4	1	1	1	2	1	2	2	1	US
1	2	4	4	2	4	2	4	1	2	2	2	US
2	1	4	2	4	4	2	4	4	2	2	1	US
1	3	1	4	4	1	2	1	4	2	1	2	US
4	4	4	4	2	4	1	4	4	2	4	2	US
4	1	4	2	2	4	2	3	1	3	2	2	US
1	3	1	1	4	4	2	3	4	2	2	2	US
4	1	1	4	4	4	4	4	3	2	4	4	GU
