submittime,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
2015-03-29 10:29:36,56,786,48,479,23,632,31,38,61,128,89,5,7,772,13,654,3,29,2345,38,5,1,5,1,5,1,5,5,5,1,2,4,5,5,1,4,5,3,4,2,1,5,2,5,1,5,1,5,5,5,4,5,5,3,5,2,4,2,3,4,4,4,2,4,5,5,5,3,5,3
2015-03-29 06:24:30,5,500,77,102,65,1223,50,16,14,70,87,65,7,670,75,700,3,53,164,45,3,1,4,2,4,1,3,2,3,2,3,3,5,2,2,2,4,4,2,4,1,5,2,5,1,5,1,5,4,5,2,4,3,3,3,3,3,2,2,3,5,1,3,1,4,2,5,5,5,4
2015-03-29 02:40:41,8,18,88,666,28,1233,99,27,2,68,87,3,7,662,6,700,3,79,3267,44,3,4,4,2,4,1,4,1,4,2,2,5,4,4,2,2,2,2,2,2,1,5,2,4,2,4,1,4,4,4,4,3,4,4,3,3,3,1,4,4,4,1,5,1,4,1,4,2,5,4
2015-03-28 10:17:47,99,999,98,499,99,1233,99,49,99,139,89,99,7,799,99,799,3,99,4011,59,1,3,2,5,3,4,2,1,2,4,4,4,5,2,5,4,4,4,2,4,1,4,1,5,2,5,2,5,5,5,1,4,3,3,2,4,3,4,3,2,4,1,5,1,5,1,5,4,5,5
2015-03-28 10:15:47,40,500,77,200,50,133,70,17,80,100,85,50,7,700,25,750,3,89,1002,45,2,4,3,4,3,3,1,4,3,5,4,4,5,4,2,3,2,2,3,2,2,5,2,4,2,4,2,4,4,2,4,2,4,2,3,2,5,2,3,4,3,3,4,2,4,1,4,4,5,3
2015-03-28 10:25:14,45,456,77,356,25,567,65,39,65,86,87,35,7,567,45,678,3,76,3654,45,5,1,5,1,5,2,5,2,4,1,2,3,4,4,4,2,4,2,3,2,4,4,2,4,2,4,2,4,4,4,3,3,3,3,3,2,4,4,3,4,2,3,5,3,3,2,3,2,2,3
2015-03-28 10:36:42,27,500,66,101,3,1100,12,42,25,72,88,12,7,792,96,650,3,5,777,59,1,3,1,5,2,2,1,5,1,5,5,2,5,2,5,4,4,3,1,3,1,4,1,5,1,5,2,5,5,5,3,4,3,4,1,4,3,1,1,3,4,2,4,1,3,2,3,4,5,4
2015-03-28 10:24:33,73,2,50,400,2,500,88,45,90,100,82,74,7,782,5,7866,2,3,95,32,2,3,3,3,3,2,3,4,2,4,5,3,5,3,4,4,2,2,4,1,1,4,1,5,1,5,2,4,5,3,5,1,5,1,4,1,5,1,4,3,4,1,3,2,4,1,4,4,5,3
2015-03-28 10:28:03,17,17,56,345,17,564,17,17,17,78,88,17,7,700,17,700,3,17,100,50,1,5,1,4,1,2,1,5,2,5,2,4,2,4,2,1,2,3,2,2,3,3,3,3,4,2,4,2,2,3,4,5,5,4,2,3,4,2,3,4,5,1,5,1,4,1,5,4,5,5
2015-03-28 10:31:14,79,979,79,120,79,124,40,8,22,65,88,52,7,799,2,626,2,91,82,40,3,1,5,1,5,1,5,3,5,1,3,5,3,5,5,1,1,1,1,1,1,5,5,5,1,3,1,5,4,5,3,3,5,1,5,1,5,1,4,3,3,1,1,1,1,3,5,1,3,3
